match_id,date,team_1,team_2,venue,winner,competition,is_world_cup
533280,2012-09-23,New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,ICC World Twenty20,False
533281,2012-09-23,England,India,R Premadasa Stadium,India,ICC World Twenty20,False
533283,2012-09-25,Bangladesh,Pakistan,Pallekele International Cricket Stadium,Pakistan,ICC World Twenty20,False
533285,2012-09-27,England,West Indies,Pallekele International Cricket Stadium,West Indies,ICC World Twenty20,False
533286,2012-09-28,Pakistan,South Africa,R Premadasa Stadium,Pakistan,ICC World Twenty20,False
533287,2012-09-28,Australia,India,R Premadasa Stadium,Australia,ICC World Twenty20,False
533288,2012-09-29,England,New Zealand,Pallekele International Cricket Stadium,England,ICC World Twenty20,False
533289,2012-09-29,Sri Lanka,West Indies,Pallekele International Cricket Stadium,Sri Lanka,ICC World Twenty20,False
533290,2012-09-30,Australia,South Africa,R Premadasa Stadium,Australia,ICC World Twenty20,False
533291,2012-09-30,India,Pakistan,R Premadasa Stadium,India,ICC World Twenty20,False
533293,2012-10-01,Sri Lanka,England,Pallekele International Cricket Stadium,Sri Lanka,ICC World Twenty20,False
533294,2012-10-02,Australia,Pakistan,R Premadasa Stadium,Pakistan,ICC World Twenty20,False
533295,2012-10-02,India,South Africa,R Premadasa Stadium,India,ICC World Twenty20,False
533296,2012-10-04,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,ICC World Twenty20,False
533297,2012-10-05,Australia,West Indies,R Premadasa Stadium,West Indies,ICC World Twenty20,False
533298,2012-10-07,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,ICC World Twenty20,False
534208,2012-06-24,England,West Indies,Trent Bridge,England,,False
534233,2012-09-08,England,South Africa,Riverside Ground,South Africa,South Africa in England T20I Series,False
534235,2012-09-12,England,South Africa,Edgbaston,England,South Africa in England T20I Series,False
538068,2011-11-29,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,,False
540173,2012-03-27,West Indies,Australia,"Beausejour Stadium, Gros Islet",Australia,Australia in West Indies T20I Series,False
540174,2012-03-30,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,Australia in West Indies T20I Series,False
543883,2012-02-22,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,Ireland in Kenya T20I Series,False
543884,2012-02-23,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,Ireland in Kenya T20I Series,False
543885,2012-02-24,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,Ireland in Kenya T20I Series,False
546410,2012-03-13,Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,ICC World Twenty20 Qualifier,False
546414,2012-03-14,Ireland,Kenya,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
546442,2012-03-18,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
546462,2012-03-22,Canada,Ireland,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
546470,2012-03-23,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
546473,2012-03-23,Canada,Scotland,Dubai International Cricket Stadium,Scotland,ICC World Twenty20 Qualifier,False
556252,2012-03-30,South Africa,India,New Wanderers Stadium,South Africa,,False
560921,2012-06-30,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand v West Indies T20I Series,False
560922,2012-07-01,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand v West Indies T20I Series,False
562437,2012-06-01,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Pakistan in Sri Lanka T20I Series,False
562438,2012-06-03,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,Pakistan in Sri Lanka T20I Series,False
564786,2012-08-07,Sri Lanka,India,Pallekele International Cricket Stadium,India,,False
565810,2012-12-20,India,England,Subrata Roy Sahara Stadium,India,England in India T20I Series,False
565811,2012-12-22,India,England,Wankhede Stadium,England,England in India T20I Series,False
